% Model:              kaiguan.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 3 2025, 22:05
% Dimension:          3
% Nodes:              78141
% Expressions:        4
% Description:        电场，x 分量, 电场，y 分量, 电场，z 分量, 电场模
% Length unit:        m
% x,y,z,esbe.Ex (V/m) @ freq=50,esbe.Ey (V/m) @ freq=50,esbe.Ez (V/m) @ freq=50,esbe.normE (V/m) @ freq=50
1.1,0.4,2,19801.8379603374,7210.840132233708,7087.707479075661,22233.86154785166
1.2,0.4,2,17751.083805235554,5925.305861409994,5633.5260620169765,19543.46033084162
1.3,0.4,2,15937.00815441399,4910.4018122850175,4443.902989367893,17258.289273588587
1.4,0.4,2,14331.399475935257,4100.115764373276,3468.857728857037,15304.670338270957
1.5,0.4,2,12908.526839644739,3446.6784552404188,2668.6858799394713,13624.666670030332
1.6,0.4,2,11645.628096799912,2914.988318430217,2011.635457797499,12172.283593501605
1.7,0.4,2,10522.84710119113,2478.8762056171413,1472.1474712888812,10910.653350512224
1.8,0.4,2,9522.960678499281,2118.5690355640963,1029.52210806132,9809.945494939382
1.9,0.4,2,8631.049154691802,1818.9419662065955,666.9021747798733,8845.807927931723
2,0.4,2,7834.176565887392,1568.295584395232,370.4928025237441,7998.195947978184
2.1,0.4,2,7121.105539930658,1357.4875282653343,128.95776663457127,7250.485956527494
2.2,0.4,2,6482.05284473964,1179.3069035073559,-67.05146928637532,6588.798809661047
2.3,0.4,2,5908.4833028013745,1028.0175260302076,-225.26640499875293,6001.478145134661
2.4,0.4,2,5392.936720358939,899.0203202835439,-352.09587998175766,5478.683739255141
2.5,0.4,2,4928.881977491366,788.6010269741348,-452.86199920241916,5012.070741530438
2.6,0.4,2,4510.59306837686,693.7397895906279,-531.9908183315724,4594.533594929928
2.7,0.4,2,4133.042911678688,611.9661324432495,-593.1675825622788,4219.999293606313
2.8,0.4,2,3791.8117704897413,541.2475488934831,-639.463821771818,3883.2588622654002
2.9,0.4,2,3483.007950703258,479.90317504493873,-673.4418217602015,3579.8289525305563
3,0.4,2,3203.199042037711,426.5363286422897,-697.2407321608118,3305.8375612160826
3.1,0.4,2,2949.525209185206,380.2810316133498,-712.8284488524232,3058.175439721747
3.2,0.4,2,2718.6271318140757,339.5515963360466,-721.4265244383969,2833.140483381163
3.3,0.4,2,2508.8788935417783,303.82786437591454,-724.3288940682112,2628.961205573929
3.4,0.4,2,2318.051165055008,272.4179683540009,-722.6102634221938,2443.304800080844
3.5,0.4,2,2144.1836634666256,244.73581972576466,-717.1633428022676,2274.146535382741
3.6,0.4,2,1985.5493428756072,220.28381862674968,-708.7300621996103,2119.723910043004
3.7,0.4,2,1840.622923679151,198.63838540458715,-697.9270427920385,1978.4974380548908
3.8,0.4,2,1708.0537360497456,179.43785556156928,-685.2665365669709,1849.1175558575285
3.9,0.4,2,1586.6425811775257,162.37238593758877,-671.1737958381494,1730.3969880754348
4,0.4,2,1475.322144691711,147.17558506591718,-656.0015852240949,1621.287810129272
4.1,0.4,2,1373.1404228839633,133.61762017313202,-640.0423383417462,1520.862414634753
4.2,0.4,2,1279.2466275677639,121.49957677882023,-623.5383108039088,1428.2976252662193
4.3,0.4,2,1192.8790969651845,110.64886126070346,-606.6899934242742,1342.8612953674367
4.4,0.4,2,1113.354831682321,100.91544842624467,-589.6630137942616,1263.9008579783347
4.5,0.4,2,1040.0603712160273,92.16879086161416,-572.5937505643205,1190.8334329234413
